订单编号,订单日期,门店,产品ID,顾客ID,数量
20000001,1/26/2020,北京市,3001,177,99
20000002,1/27/2020,北京市,3002,126,4
20000003,1/29/2020,北京市,3003,159,1
20000004,1/30/2020,北京市,3002,199,2
20000005,2/6/2020,北京市,3001,179,1
20000006,2/10/2020,北京市,3001,157,4
20000007,2/11/2020,北京市,3003,132,2
20000008,2/13/2020,北京市,3002,101,2
20000009,2/13/2020,北京市,3001,147,3
20000010,2/13/2020,北京市,3002,113,1
20000011,2/28/2020,北京市,3003,191,2
20000012,3/4/2020,北京市,3002,132,1
20000013,3/6/2020,嘉兴市,3002,271,4
20000014,3/9/2020,嘉兴市,3003,232,1
20000015,3/9/2020,嘉兴市,3003,249,3
20000016,3/9/2020,北京市,3003,183,1
20000017,3/10/2020,嘉兴市,3001,236,1
20000018,3/10/2020,北京市,3003,111,1
20000019,3/10/2020,北京市,3002,107,1
20000020,3/10/2020,北京市,3002,145,3
20000021,3/12/2020,嘉兴市,3002,207,3
20000022,3/13/2020,嘉兴市,3002,215,1
20000023,3/13/2020,嘉兴市,3002,225,1
20000024,3/17/2020,杭州市,3007,384,1
20000025,3/17/2020,杭州市,3008,334,1
20000026,3/17/2020,杭州市,3001,337,1
20000027,3/18/2020,嘉兴市,3003,283,3
20000028,3/19/2020,杭州市,3008,311,3
20000029,3/24/2020,北京市,3002,162,1
20000030,3/25/2020,杭州市,3001,390,4
20000031,3/27/2020,杭州市,3002,383,4
20000032,3/30/2020,北京市,3002,140,1
20000033,3/31/2020,杭州市,3003,342,2
20000034,3/31/2020,嘉兴市,3002,238,1
20000035,4/1/2020,杭州市,3002,350,1
20000036,4/1/2020,嘉兴市,3002,284,2
20000037,4/2/2020,北京市,3002,117,4
20000038,4/2/2020,杭州市,3008,332,1
20000039,4/2/2020,嘉兴市,3001,252,4
20000040,4/3/2020,杭州市,3003,352,1
20000041,4/3/2020,嘉兴市,3003,235,1
20000042,4/3/2020,北京市,3001,163,1
20000043,4/7/2020,北京市,3003,184,3
20000044,4/8/2020,嘉兴市,3003,256,1
20000045,4/10/2020,北京市,3002,135,1
20000046,4/10/2020,嘉兴市,3002,261,3
20000047,4/13/2020,北京市,3001,122,4
20000048,4/14/2020,北京市,3002,110,1
20000049,4/14/2020,北京市,3003,156,1
20000050,4/16/2020,北京市,3002,114,1
20000051,4/17/2020,北京市,3002,106,1
20000052,4/17/2020,北京市,3003,115,1
20000053,4/17/2020,北京市,3003,157,1
20000054,4/20/2020,南京市,3007,446,1
20000055,4/20/2020,北京市,3003,189,1
20000056,4/20/2020,北京市,3003,153,3
20000057,4/21/2020,北京市,3001,119,1
20000058,4/21/2020,嘉兴市,3002,221,1
20000059,4/21/2020,南京市,3009,412,2
20000060,4/21/2020,北京市,3002,149,1
20000061,4/22/2020,北京市,3002,200,1
20000062,4/22/2020,北京市,3003,112,2
20000063,4/22/2020,北京市,3002,188,1
20000064,4/22/2020,南京市,3007,407,1
20000065,4/22/2020,南京市,3008,434,1
20000066,4/22/2020,南京市,3008,477,2
20000067,4/23/2020,嘉兴市,3001,237,4
20000068,4/23/2020,北京市,3002,120,2
20000069,4/23/2020,南京市,3008,415,1
20000070,4/23/2020,南京市,3007,403,3
20000071,4/23/2020,北京市,3002,123,1
20000072,4/23/2020,南京市,3009,466,1
20000073,4/24/2020,杭州市,3002,353,1
20000074,4/24/2020,杭州市,3003,385,1
20000075,4/24/2020,常州市,3002,531,4
20000076,4/24/2020,嘉兴市,3001,235,3
20000077,4/24/2020,北京市,3002,195,1
20000078,4/24/2020,北京市,3002,108,3
20000079,4/24/2020,北京市,3003,141,2
20000080,4/24/2020,南京市,3007,475,1
20000081,4/24/2020,南京市,3008,439,1
20000082,4/24/2020,南京市,3008,474,2
20000083,4/24/2020,南京市,3008,474,3
20000084,4/24/2020,杭州市,3002,326,3
20000085,4/24/2020,南京市,3009,464,2
20000086,4/27/2020,常州市,3003,528,1
20000087,4/27/2020,常州市,3002,553,1
20000088,4/27/2020,南京市,3008,444,1
20000089,4/27/2020,南京市,3009,408,3
20000090,4/27/2020,北京市,3003,192,1
20000091,4/27/2020,南京市,3001,497,3
20000092,4/27/2020,南京市,3008,418,1
20000093,4/27/2020,南京市,3002,421,1
20000094,4/27/2020,南京市,3009,457,1
20000095,4/27/2020,北京市,3002,160,4
20000096,4/27/2020,杭州市,3002,384,3
20000097,4/28/2020,常州市,3001,501,1
20000098,4/28/2020,常州市,3001,544,1
20000099,4/28/2020,常州市,3001,584,1
20000100,4/28/2020,北京市,3002,200,1
20000101,4/28/2020,南京市,3001,465,1
20000102,4/28/2020,南京市,3009,474,1
20000103,4/28/2020,南京市,3008,428,2
20000104,4/28/2020,杭州市,3003,311,4
20000105,4/28/2020,嘉兴市,3007,242,1
20000106,4/28/2020,南京市,3007,470,1
20000107,4/29/2020,常州市,3001,573,1
20000108,4/29/2020,常州市,3002,598,1
20000109,4/29/2020,嘉兴市,3002,287,1
20000110,4/29/2020,嘉兴市,3002,250,4
20000111,4/29/2020,杭州市,3007,387,4
20000112,4/29/2020,南京市,3003,450,4
20000113,4/29/2020,北京市,3002,136,3
20000114,4/29/2020,南京市,3009,477,3
20000115,4/29/2020,北京市,3003,137,1
20000116,4/29/2020,北京市,3003,148,1
20000117,4/29/2020,北京市,3003,148,4
20000118,4/30/2020,常州市,3002,574,4
20000119,4/30/2020,常州市,3001,543,2
20000120,4/30/2020,常州市,3001,547,4
20000121,4/30/2020,嘉兴市,3003,260,4
20000122,4/30/2020,杭州市,3002,357,1
20000123,4/30/2020,北京市,3003,109,2
20000124,4/30/2020,嘉兴市,3001,202,1
20000125,4/30/2020,嘉兴市,3002,251,3
20000126,5/4/2020,常州市,3002,561,2
20000127,5/4/2020,常州市,3002,511,4
20000128,5/4/2020,常州市,3001,594,3
20000129,5/4/2020,嘉兴市,3002,208,1
20000130,5/4/2020,北京市,3001,175,1
20000131,5/4/2020,南京市,3007,463,2
20000132,5/4/2020,杭州市,3002,336,1
20000133,5/4/2020,嘉兴市,3001,222,2
20000134,5/4/2020,嘉兴市,3003,225,2
20000135,5/4/2020,南京市,3007,450,1
20000136,5/4/2020,杭州市,3002,339,1
20000137,5/5/2020,常州市,3002,588,2
20000138,5/5/2020,北京市,3003,113,3
20000139,5/5/2020,杭州市,3002,392,1
20000140,5/5/2020,北京市,3001,105,3
20000141,5/5/2020,杭州市,3003,323,3
20000142,5/5/2020,南京市,3009,490,1
20000143,5/5/2020,北京市,3001,154,1
20000144,5/6/2020,常州市,3002,532,1
20000145,5/6/2020,常州市,3003,577,1
20000146,5/6/2020,北京市,3002,145,1
20000147,5/6/2020,南京市,3002,419,1
20000148,5/6/2020,南京市,3008,446,3
20000149,5/6/2020,嘉兴市,3002,222,4
20000150,5/6/2020,嘉兴市,3001,252,3
20000151,5/6/2020,杭州市,3001,397,4
20000152,5/7/2020,常州市,3003,526,1
20000153,5/7/2020,北京市,3001,124,2
20000154,5/7/2020,南京市,3007,458,1
20000155,5/7/2020,北京市,3001,181,1
20000156,5/8/2020,北京市,3002,196,2
20000157,5/8/2020,南京市,3008,451,4
20000158,5/8/2020,南京市,3007,436,1
20000159,5/8/2020,常州市,3003,540,1
20000160,5/8/2020,嘉兴市,3001,300,2
20000161,5/11/2020,常州市,3001,533,3
20000162,5/11/2020,常州市,3002,562,1
20000163,5/11/2020,常州市,3002,578,1
20000164,5/11/2020,南京市,3007,416,1
20000165,5/11/2020,南京市,3008,473,2
20000166,5/11/2020,杭州市,3002,386,2
20000167,5/11/2020,嘉兴市,3002,242,3
20000168,5/11/2020,嘉兴市,3001,263,4
20000169,5/12/2020,常州市,3003,567,3
20000170,5/12/2020,常州市,3002,589,2
20000171,5/12/2020,北京市,3001,176,2
20000172,5/12/2020,杭州市,3002,313,1
20000173,5/12/2020,南京市,3009,485,2
20000174,5/12/2020,杭州市,3002,380,4
20000175,5/12/2020,北京市,3001,174,1
20000176,5/12/2020,杭州市,3002,355,1
20000177,5/12/2020,常州市,3001,598,1
20000178,5/12/2020,嘉兴市,3003,281,1
20000179,5/12/2020,北京市,3003,136,2
20000180,5/12/2020,南京市,3007,500,4
20000181,5/12/2020,南京市,3008,431,1
20000182,5/12/2020,南京市,3008,437,2
20000183,5/13/2020,常州市,3002,546,3
20000184,5/13/2020,北京市,3002,152,1
20000185,5/13/2020,南京市,3003,423,1
20000186,5/13/2020,杭州市,3002,351,2
20000187,5/13/2020,杭州市,3001,307,2
20000188,5/13/2020,南京市,3007,492,1
20000189,5/13/2020,南京市,3008,481,4
20000190,5/14/2020,嘉兴市,3007,201,3
20000191,5/14/2020,嘉兴市,3002,300,1
20000192,5/14/2020,北京市,3003,174,3
20000193,5/14/2020,南京市,3008,440,1
20000194,5/14/2020,嘉兴市,3002,297,1
20000195,5/14/2020,南京市,3009,492,3
20000196,5/14/2020,杭州市,3002,369,1
20000197,5/14/2020,杭州市,3001,342,1
20000198,5/14/2020,杭州市,3002,379,1
20000199,5/14/2020,嘉兴市,3009,287,1
20000200,5/15/2020,常州市,3002,503,1
20000201,5/15/2020,常州市,3003,544,1
20000202,5/15/2020,常州市,3003,524,1
20000203,5/15/2020,南京市,3007,460,1
20000204,5/15/2020,北京市,3001,200,2
20000205,5/15/2020,南京市,3009,445,2
20000206,5/15/2020,南京市,3008,450,2
20000207,5/15/2020,南京市,3002,413,1
20000208,5/15/2020,常州市,3001,504,1
20000209,5/15/2020,杭州市,3001,352,1
20000210,5/18/2020,南京市,3008,470,1
20000211,5/18/2020,南京市,3008,475,1
20000212,5/18/2020,南京市,3007,494,1
20000213,5/18/2020,南京市,3008,486,1
20000214,5/18/2020,南京市,3001,466,3
20000215,5/19/2020,常州市,3001,544,3
20000216,5/19/2020,常州市,3001,515,4
20000217,5/19/2020,北京市,3002,137,1
20000218,5/19/2020,南京市,3007,438,1
20000219,5/19/2020,北京市,3002,187,3
20000220,5/19/2020,南京市,3008,457,4
20000221,5/19/2020,北京市,3002,134,3
20000222,5/19/2020,杭州市,3002,385,1
20000223,5/19/2020,嘉兴市,3002,238,3
20000224,5/19/2020,杭州市,3002,387,1
20000225,5/20/2020,常州市,3002,540,1
20000226,5/20/2020,南京市,3003,469,3
20000227,5/20/2020,南京市,3003,484,4
20000228,5/20/2020,南通市,3001,679,1
20000229,5/20/2020,北京市,3002,166,3
20000230,5/20/2020,北京市,3002,145,3
20000231,5/20/2020,南京市,3009,483,3
20000232,5/20/2020,杭州市,3003,302,1
20000233,5/20/2020,杭州市,3001,321,1
20000234,5/20/2020,常州市,3002,521,1
20000235,5/20/2020,南通市,3002,641,1
20000236,5/20/2020,南京市,3007,425,1
20000237,5/20/2020,杭州市,3001,334,1
20000238,5/21/2020,常州市,3003,563,3
20000239,5/21/2020,常州市,3002,590,3
20000240,5/21/2020,常州市,3002,600,4
20000241,5/21/2020,南通市,3002,644,1
20000242,5/21/2020,南京市,3008,478,1
20000243,5/21/2020,北京市,3002,163,4
20000244,5/21/2020,嘉兴市,3003,201,4
20000245,5/21/2020,常州市,3001,544,3
20000246,5/22/2020,常州市,3002,590,1
20000247,5/22/2020,常州市,3002,583,1
20000248,5/22/2020,常州市,3001,507,4
20000249,5/22/2020,南京市,3001,409,2
20000250,5/22/2020,南京市,3008,488,1
20000251,5/22/2020,南通市,3001,700,1
20000252,5/22/2020,南京市,3008,406,1
20000253,5/22/2020,南京市,3009,451,1
20000254,5/22/2020,嘉兴市,3003,265,3
20000255,5/22/2020,嘉兴市,3002,264,1
20000256,5/22/2020,嘉兴市,3002,246,1
20000257,5/22/2020,嘉兴市,3002,211,3
20000258,5/25/2020,常州市,3003,561,4
20000259,5/25/2020,常州市,3001,514,1
20000260,5/25/2020,嘉兴市,3003,223,1
20000261,5/25/2020,北京市,3003,169,1
20000262,5/25/2020,南京市,3007,425,1
20000263,5/25/2020,南京市,3003,437,1
20000264,5/25/2020,杭州市,3002,308,4
20000265,5/25/2020,嘉兴市,3002,206,1
20000266,5/25/2020,常州市,3002,539,3
20000267,5/26/2020,常州市,3001,575,3
20000268,5/26/2020,常州市,3001,520,1
20000269,5/26/2020,常州市,3002,538,1
20000270,5/26/2020,常州市,3002,570,4
20000271,5/26/2020,南京市,3009,451,1
20000272,5/27/2020,常州市,3002,515,4
20000273,5/27/2020,南京市,3009,467,3
20000274,5/27/2020,常州市,3001,538,1
20000275,5/27/2020,常州市,3003,588,2
20000276,5/27/2020,嘉兴市,3001,215,4
20000277,5/27/2020,嘉兴市,3001,236,1
20000278,5/27/2020,南京市,3007,465,4
20000279,5/28/2020,常州市,3002,556,3
20000280,5/28/2020,南京市,3007,490,1
20000281,5/28/2020,南京市,3003,437,1
20000282,5/28/2020,南京市,3002,465,4
20000283,5/28/2020,杭州市,3001,391,2
20000284,5/28/2020,北京市,3002,165,4
20000285,5/28/2020,杭州市,3002,364,1
20000286,5/29/2020,南京市,3003,448,1
20000287,5/29/2020,杭州市,3002,323,3
20000288,5/29/2020,常州市,3003,537,1
20000289,5/29/2020,常州市,3003,524,1
20000290,5/29/2020,南京市,3008,492,1
20000291,5/29/2020,嘉兴市,3002,229,1
20000292,5/29/2020,嘉兴市,3007,203,4
20000293,5/29/2020,南京市,3009,440,1
20000294,6/1/2020,嘉兴市,3002,255,1
20000295,6/1/2020,杭州市,3002,316,1
20000296,6/1/2020,南京市,3001,450,3
20000297,6/2/2020,常州市,3003,574,1
20000298,6/2/2020,常州市,3002,570,1
20000299,6/2/2020,南京市,3002,449,2
20000300,6/2/2020,南通市,3002,612,2
20000301,6/2/2020,北京市,3002,129,1
20000302,6/2/2020,杭州市,3001,394,1
20000303,6/2/2020,南通市,3002,641,2
20000304,6/2/2020,嘉兴市,3002,216,1
20000305,6/3/2020,嘉兴市,3001,282,1
20000306,6/3/2020,北京市,3002,108,1
20000307,6/3/2020,南通市,3002,644,4
20000308,6/3/2020,南京市,3008,446,3
20000309,6/3/2020,南京市,3001,478,1
20000310,6/3/2020,杭州市,3002,397,1
20000311,6/3/2020,杭州市,3001,319,2
20000312,6/3/2020,常州市,3003,518,1
20000313,6/3/2020,泰兴市,3002,722,2
20000314,6/3/2020,嘉兴市,3002,257,3
20000315,6/3/2020,嘉兴市,3003,284,1
20000316,6/4/2020,常州市,3003,580,3
20000317,6/4/2020,常州市,3001,549,3
20000318,6/4/2020,北京市,3002,134,2
20000319,6/4/2020,杭州市,3009,320,3
20000320,6/4/2020,杭州市,3002,313,1
20000321,6/4/2020,南通市,3002,617,1
20000322,6/4/2020,杭州市,3002,332,4
20000323,6/4/2020,南通市,3002,694,3
20000324,6/5/2020,常州市,3002,504,3
20000325,6/5/2020,嘉兴市,3001,233,2
20000326,6/5/2020,嘉兴市,3003,255,2
20000327,6/5/2020,杭州市,3002,314,1
20000328,6/5/2020,杭州市,3002,305,1
20000329,6/5/2020,南京市,3008,447,1
20000330,6/5/2020,北京市,3003,166,2
20000331,6/5/2020,南京市,3008,428,4
20000332,6/5/2020,南京市,3003,456,1
20000333,6/5/2020,常州市,3002,594,1
20000334,6/5/2020,常州市,3002,507,1
20000335,6/5/2020,杭州市,3002,398,2
20000336,6/5/2020,杭州市,3001,397,4
20000337,6/5/2020,杭州市,3001,339,1
20000338,6/5/2020,北京市,3001,114,1
20000339,6/8/2020,常州市,3003,520,2
20000340,6/8/2020,泰兴市,3007,736,1
20000341,6/8/2020,南通市,3002,684,1
20000342,6/8/2020,南京市,3003,417,1
20000343,6/8/2020,杭州市,3002,344,1
20000344,6/8/2020,北京市,3001,144,4
20000345,6/8/2020,嘉兴市,3002,259,1
20000346,6/9/2020,常州市,3003,507,1
20000347,6/9/2020,嘉兴市,3001,228,4
20000348,6/9/2020,南京市,3008,406,3
20000349,6/9/2020,南京市,3007,410,2
20000350,6/9/2020,杭州市,3002,385,2
20000351,6/9/2020,杭州市,3003,384,3
20000352,6/9/2020,常州市,3003,512,1
20000353,6/9/2020,南京市,3001,482,1
20000354,6/9/2020,泰兴市,3002,786,1
20000355,6/9/2020,泰兴市,3003,799,1
20000356,6/9/2020,北京市,3001,112,3
20000357,6/9/2020,嘉兴市,3001,261,4
20000358,6/10/2020,常州市,3001,513,3
20000359,6/10/2020,泰兴市,3002,712,2
20000360,6/10/2020,南通市,3002,623,1
20000361,6/10/2020,南京市,3001,446,3
20000362,6/10/2020,南京市,3007,413,2
20000363,6/10/2020,嘉兴市,3002,226,2
20000364,6/10/2020,嘉兴市,3002,286,2
20000365,6/11/2020,常州市,3002,530,4
20000366,6/11/2020,南京市,3001,472,3
20000367,6/11/2020,南京市,3001,432,1
20000368,6/11/2020,南京市,3003,419,1
20000369,6/11/2020,南京市,3001,428,3
20000370,6/11/2020,泰兴市,3002,750,1
20000371,6/11/2020,杭州市,3002,388,2
20000372,6/11/2020,常州市,3002,528,1
20000373,6/11/2020,嘉兴市,3003,287,1
20000374,6/12/2020,常州市,3001,533,1
20000375,6/12/2020,杭州市,3003,356,3
20000376,6/12/2020,泰兴市,3002,735,4
20000377,6/12/2020,南通市,3001,698,4
20000378,6/12/2020,南京市,3008,450,2
20000379,6/12/2020,南京市,3003,483,4
20000380,6/12/2020,南京市,3001,404,1
20000381,6/12/2020,杭州市,3003,376,1
20000382,6/12/2020,泰兴市,3002,770,1
20000383,6/12/2020,泰兴市,3003,713,1
20000384,6/12/2020,杭州市,3002,306,2
20000385,6/12/2020,嘉兴市,3003,277,1
20000386,6/12/2020,嘉兴市,3003,283,1
20000387,6/12/2020,杭州市,3002,366,4
20000388,6/12/2020,南京市,3003,440,2
20000389,6/15/2020,常州市,3001,525,2
20000390,6/15/2020,常州市,3003,569,4
20000391,6/15/2020,南通市,3002,680,4
20000392,6/15/2020,南通市,3002,675,2
20000393,6/15/2020,北京市,3003,156,4
20000394,6/15/2020,泰兴市,3003,719,4
20000395,6/16/2020,杭州市,3002,312,1
20000396,6/16/2020,泰兴市,3001,727,4
20000397,6/16/2020,南京市,3003,452,3
20000398,6/16/2020,南京市,3007,490,1
20000399,6/16/2020,南京市,3008,484,2
20000400,6/16/2020,南通市,3002,620,3
20000401,6/16/2020,泰兴市,3003,731,1
20000402,6/16/2020,南通市,3008,690,2
20000403,6/16/2020,南通市,3002,654,1
20000404,6/17/2020,常州市,3001,570,1
20000405,6/17/2020,嘉兴市,3002,289,2
20000406,6/17/2020,北京市,3002,120,1
20000407,6/17/2020,南通市,3003,611,1
20000408,6/17/2020,南京市,3002,498,1
20000409,6/17/2020,南京市,3003,407,2
20000410,6/17/2020,泰兴市,3003,798,4
20000411,6/17/2020,南京市,3008,471,1
20000412,6/17/2020,南京市,3007,408,2
20000413,6/17/2020,嘉兴市,3003,235,1
20000414,6/17/2020,南京市,3002,454,3
20000415,6/18/2020,常州市,3002,502,2
20000416,6/18/2020,嘉兴市,3001,242,1
20000417,6/18/2020,嘉兴市,3003,242,3
20000418,6/18/2020,杭州市,3002,393,2
20000419,6/18/2020,杭州市,3002,302,4
20000420,6/18/2020,泰兴市,3002,747,1
20000421,6/18/2020,泰兴市,3003,761,1
20000422,6/18/2020,南京市,3008,459,3
20000423,6/18/2020,南京市,3002,417,1
20000424,6/18/2020,南通市,3003,630,4
20000425,6/18/2020,杭州市,3002,315,1
20000426,6/18/2020,常州市,3003,509,2
20000427,6/18/2020,嘉兴市,3002,207,2
20000428,6/18/2020,嘉兴市,3002,299,1
20000429,6/18/2020,南通市,3002,696,1
20000430,6/19/2020,嘉兴市,3002,219,1
20000431,6/19/2020,泰兴市,3002,799,1
20000432,6/19/2020,泰兴市,3002,786,1
20000433,6/19/2020,南京市,3009,496,1
20000434,6/19/2020,南京市,3002,474,1
20000435,6/19/2020,北京市,3001,111,1
20000436,6/19/2020,南京市,3002,428,3
20000437,6/19/2020,常州市,3002,534,1
20000438,6/19/2020,嘉兴市,3001,209,3
20000439,6/19/2020,嘉兴市,3002,228,3
20000440,6/19/2020,南通市,3002,680,1
20000441,6/19/2020,南通市,3001,690,1
20000442,6/23/2020,杭州市,3002,344,1
20000443,6/23/2020,嘉兴市,3008,245,4
20000444,6/23/2020,嘉兴市,3002,258,3
20000445,6/23/2020,泰兴市,3002,721,1
20000446,6/23/2020,南京市,3001,431,3
20000447,6/23/2020,南京市,3003,413,1
20000448,6/23/2020,泰兴市,3002,722,1
20000449,6/23/2020,嘉兴市,3002,223,1
20000450,6/23/2020,南京市,3009,473,2
20000451,6/23/2020,杭州市,3002,390,1
20000452,6/23/2020,南京市,3002,444,2
20000453,6/23/2020,南京市,3008,433,2
20000454,6/24/2020,常州市,3002,547,1
20000455,6/24/2020,嘉兴市,3002,275,3
20000456,6/24/2020,嘉兴市,3007,270,3
20000457,6/24/2020,泰兴市,3003,754,1
20000458,6/24/2020,北京市,3003,110,3
20000459,6/24/2020,常州市,3002,545,3
20000460,6/24/2020,常州市,3001,581,3
20000461,6/24/2020,杭州市,3003,400,1
20000462,6/24/2020,南京市,3008,401,1
20000463,6/25/2020,常州市,3002,598,1
20000464,6/25/2020,常州市,3002,586,1
20000465,6/25/2020,常州市,3002,508,1
20000466,6/25/2020,泰兴市,3002,746,1
20000467,6/25/2020,泰兴市,3002,712,1
20000468,6/25/2020,杭州市,3002,332,1
20000469,6/25/2020,杭州市,3003,357,1
20000470,6/25/2020,杭州市,3002,303,1
20000471,6/25/2020,嘉兴市,3002,300,1
20000472,6/25/2020,嘉兴市,3001,245,4
20000473,6/25/2020,南京市,3008,459,1
20000474,6/25/2020,南京市,3008,434,1
20000475,6/26/2020,泰兴市,3003,740,2
20000476,6/26/2020,南通市,3008,620,1
20000477,6/26/2020,杭州市,3002,385,1
20000478,6/26/2020,杭州市,3002,336,1
20000479,6/26/2020,杭州市,3001,384,1
20000480,6/26/2020,杭州市,3007,340,1
20000481,6/26/2020,北京市,3002,105,1
20000482,6/26/2020,北京市,3003,116,1
20000483,6/26/2020,北京市,3002,188,1
20000484,6/26/2020,泰兴市,3007,736,1
20000485,6/26/2020,杭州市,3001,354,4
20000486,6/26/2020,南通市,3002,603,1
20000487,6/29/2020,常州市,3003,573,4
20000488,6/29/2020,嘉兴市,3001,277,2
20000489,6/29/2020,北京市,3002,152,4
20000490,6/29/2020,泰兴市,3003,790,1
20000491,6/29/2020,泰兴市,3001,712,1
20000492,6/29/2020,泰兴市,3002,743,2
20000493,6/30/2020,泰兴市,3003,733,1
